,count,mean,std,min,25%,50%,75%,max,variance
Avg Bwd Segment Size,128025.0,1481.0388411530641,1164.8749190803674,0.0,0.0,1934.5,2321.4,5800.5,1356933.5771024923
Fwd Header Length.1,128025.0,97.09734817418473,38.290180737764175,20.0,72.0,80.0,100.0,232.0,1466.137940930647
Fwd Avg Bytes/Bulk,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,128025.0,4.472493653583284,1.8977720273410974,1.0,3.0,4.0,5.0,11.0,3.601538667758339
Subflow Fwd Bytes,128025.0,31.909002148017965,11.956732136248384,6.0,26.0,26.0,30.0,74.0,142.96344337799482
Subflow Bwd Packets,128025.0,3.2558562780706892,2.5542956855815877,0.0,0.0,4.0,5.0,8.0,6.524426449380713
Subflow Bwd Bytes,128025.0,7373.739402460457,5584.63994463778,0.0,0.0,11601.0,11607.0,11613.0,31188203.311243862
Init_Win_bytes_forward,128025.0,3889.9496973247415,4052.460156324416,0.0,256.0,256.0,8192.0,29200.0,16422433.31859691
Init_Win_bytes_backward,128025.0,145.40595977348175,110.6289108740407,-1.0,-1.0,229.0,229.0,229.0,12238.755921176442
act_data_pkt_fwd,128025.0,3.2897402851005664,1.5583848017155715,0.0,2.0,3.0,4.0,9.0,2.428563190218081
min_seg_size_forward,128025.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0
Active Mean,128025.0,200796.51867994532,784338.7218218202,0.0,0.0,0.0,1018.0,5000895.0,615187230549.0868
Active Std,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Max,128025.0,200796.51867994532,784338.7218218202,0.0,0.0,0.0,1018.0,5000895.0,615187230549.0868
Active Min,128025.0,200796.51867994532,784338.7218218202,0.0,0.0,0.0,1018.0,5000895.0,615187230549.0868
Idle Mean,128025.0,11985496.610880688,23372236.768711224,0.0,0.0,0.0,9219688.0,101000000.0,546261451572696.94
Idle Std,128025.0,4481584.065612185,14107876.23507775,0.0,0.0,0.0,0.0,64300000.0,199032171864271.53
Idle Max,128025.0,15154472.98268307,29007025.67150814,0.0,0.0,0.0,9219688.0,101000000.0,841407538307532.2
Idle Min,128025.0,8816552.479336068,21216663.104989193,0.0,0.0,0.0,8027748.0,101000000.0,450146793310609.75
